AmB,AuB,BMA,BmB,FrB,HeB,HKB,IsB,JaB,JoB,LnB,LxB,MeB,MoB,MxB,NYB,RiB,SiB,SPB,SyB,Tgt,TkB,TrB,WeB,ZuB,BxB,RJB,SPB,BeB,MwB,SeB,TpB,KLB,BkB,NBR,ViB
20030421,20061225,20150411,20031225,20041231,20050505,20010413,20090501,20090326,20041216,20020826,20040623,20010413,20040409,20090202,20020121,20090807,20030418,20080204,20050126,20060417,19960503,20050325,20041228,20051226,20160101,20150403,20080204,20080930,20030501,20061005,20080211,20040505,20040101,20160421,20041208
20030430,20061226,20150412,20040126,20050325,20050624,20010416,20090519,20090409,20041227,20021225,20041101,20010416,20040524,20090316,20020218,20090814,20030501,20080205,20050325,20060501,19960506,20050523,20050103,20060102,20160208,20150421,20080205,20081001,20030502,20061006,20080228,20040831,20040308,20160526,20041224
20030529,20070101,20150418,20040202,20050328,20051206,20010430,20090921,20090410,20050321,20021226,20050325,20010425,20040624,20090409,20020527,20090821,20030515,20080321,20050328,20061225,19960916,20050701,20050104,20060414,20160209,20150423,20080321,20081002,20030509,20061225,20080404,20041112,20040406,20160907,20050106
20030609,20070102,20150419,20040218,20050505,20051226,20010501,20090922,20090521,20050325,20030101,20050328,20010611,20040701,20090410,20020704,20090828,20031024,20080421,20050425,20061226,19960923,20050801,20050124,20060417,20160325,20150501,20080421,20081003,20030612,20070101,20080501,20041115,20040413,20161012,20050328
20031225,20070129,20150425,20040302,20050516,20060106,20010625,20091029,20090708,20050328,20030418,20050505,20011001,20040906,20090501,20020902,20090904,20031125,20080501,20050613,20070101,19961010,20050905,20050325,20060501,20160421,20150604,20080501,20090101,20030613,20070219,20080728,20041116,20040414,20161102,20050505
20031226,20070206,20150426,20040330,20050526,20060414,20010702,20091127,20090720,20050427,20030421,20050516,20011225,20041011,20090916,20021014,20090911,20031225,20080522,20050801,20070406,19961104,20051010,20050328,20060525,20160526,20150907,20080522,20090102,20031107,20070301,20080929,20050121,20040415,20161115,20050516
20040101,20070406,20150502,20040401,20051003,20060417,20011001,20091130,20090817,20050502,20030505,20050623,20011226,20041111,20091102,20021111,20090917,20040101,20080709,20051003,20070409,19961223,20051111,20050425,20060605,20160907,20151012,20080709,20090126,20031212,20070501,20081010,20050201,20040503,20170227,20050526
20040409,20070409,20150503,20040409,20051226,20060501,20011002,20100101,20090921,20050616,20030526,20050815,20020101,20041227,20091116,20021128,20090918,20040122,20081120,20051226,20070501,19961231,20051226,20050606,20060801,20161012,20151102,20081120,20090127,20040101,20070524,20090101,20050209,20040505,20170228,20050815
20040412,20070425,20150509,20040414,20060414,20060525,20011025,20100423,20090922,20050809,20030825,20051101,20040101,20041228,20091225,20021225,20090921,20040123,20081225,20051227,20071225,19970101,20051227,20051024,20061225,20161102,20151120,20081225,20090128,20040102,20070606,20090102,20050210,20040603,20170414,20051026
20040430,20070604,20150510,20040426,20060417,20060623,20011225,20100519,20090923,20051216,20031225,20051226,20040126,20050103,20100101,20030101,20090922,20040202,20081231,20060102,20071226,19970102,20060102,20051226,20061226,20161115,20151225,20081231,20090129,20040107,20070717,20090126,20050211,20040701,20170421,20051101
20040520,20071022,20150516,20040504,20060501,20061206,20011226,20100830,20091127,20051226,20031226,20060414,20040308,20050104,20100201,20030120,20090923,20040409,20090101,20060126,20080101,19970103,20060414,20051227,20070101,20161130,20151231,20090101,20090130,20040223,20070815,20090127,20050421,20040802,20170501,20051208
20040531,20071225,20150517,20040630,20060525,20061225,20020101,20100909,20091218,20060102,20040101,20060417,20040409,20050325,20100315,20030217,20090924,20040602,20090223,20060414,20080321,19970115,20060522,20060102,20070102,20161230,20160101,20090223,20090406,20040308,20070924,20090128,20050502,20040812,20170615,20051226
20050325,20071226,20150523,20040820,20060605,20061226,20020212,20100910,20091225,20060301,20040409,20060501,20040412,20050523,20100401,20030526,20090925,20040809,20090224,20060417,20080324,19970211,20060703,20060103,20070406,20170227,20160120,20090224,20090501,20040503,20070925,20090129,20050523,20041025,20170907,20060106
20050328,20080101,20150524,20040930,20060615,20070101,20020213,20101029,20100101,20060321,20040412,20060525,20040614,20050624,20100402,20030704,20091002,20041111,20090410,20060425,20080501,19970320,20060807,20060123,20070409,20170228,20160208,20090410,20090528,20040504,20070926,20090130,20050831,20041206,20171012,20060417
20050505,20080102,20150525,20041013,20061003,20070406,20020214,20101116,20100226,20060414,20040503,20060605,20041102,20050701,20100916,20030901,20091009,20041115,20090421,20060612,20081225,19970429,20060904,20060206,20070501,20170414,20160209,20090421,20090529,20040510,20071003,20090501,20051101,20041210,20171102,20060501
20050516,20080128,20150530,20041022,20061225,20070409,20020329,20101117,20100316,20060417,20040531,20060623,20041227,20050905,20100917,20031013,20091016,20050121,20090501,20060807,20081226,19970505,20061009,20060414,20070517,20170421,20160325,20090501,20091001,20040614,20071219,20090528,20051103,20041231,20171115,20060525
20051226,20080206,20150531,20041112,20061226,20070501,20020401,20101118,20100402,20060427,20040830,20060815,20041228,20051010,20101102,20031111,20091023,20050209,20090611,20061002,20090101,19970721,20061113,20060417,20070528,20170501,20160421,20090611,20091002,20041108,20071225,20090529,20051104,20050103,20171225,20060605
20060414,20080321,20150606,20041115,20070101,20070517,20020405,20101119,20100513,20060501,20041227,20061101,20050103,20051111,20101115,20031127,20091030,20050210,20090709,20061225,20090410,19970915,20061225,20060425,20070801,20170615,20160526,20090709,20091005,20041213,20080101,20090807,20051226,20050223,20180101,20060615
20060417,20080324,20150607,20041126,20070406,20070622,20020501,20110519,20100528,20060616,20041228,20061225,20050126,20051226,20110207,20031225,20091106,20050325,20090907,20061226,20090413,19970923,20061226,20060605,20071225,20170907,20160907,20090907,20091006,20050103,20080206,20100101,20060102,20050406,20180212,20060815
20060525,20080425,20150613,20050121,20070409,20071206,20020520,20110830,20100817,20060809,20050103,20061226,20050314,20051227,20110321,20040101,20091113,20050502,20091012,20070101,20090501,19971010,20070101,20061023,20071226,20171012,20161012,20091012,20091007,20050104,20080207,20100215,20060110,20050413,20180213,20061026
20060605,20080602,20150614,20050126,20070501,20071224,20020701,20110831,20100909,20060925,20050325,20070101,20050325,20060102,20110421,20040119,20091120,20050523,20091102,20070126,20091225,19971103,20070406,20061225,20080101,20171102,20161102,20091102,20091008,20050105,20080208,20100216,20060130,20050414,20180330,20061101
20061225,20081027,20150620,20050309,20070517,20071225,20021001,20110901,20100910,20061225,20050328,20070406,20050328,20060103,20110422,20040216,20091126,20050809,20091120,20070406,20100101,19971124,20070521,20061226,20080102,20171115,20161115,20091120,20100101,20050106,20080409,20100217,20060131,20050415,20180501,20061208
20061226,20081225,20150621,20050325,20070528,20071226,20021014,20111107,20100913,20061226,20050502,20070409,20050425,20060414,20110916,20040531,20091127,20051101,20091225,20070409,20100402,19971223,20070702,20070101,20080321,20171130,20161230,20091225,20100215,20050107,20080501,20100218,20060201,20050502,20180531,20061225
20070101,20081226,20150627,20050401,20070607,20080101,20021225,20111108,20101117,20070101,20050530,20070501,20050613,20060522,20111102,20040705,20091130,20051103,20091231,20070425,20100405,19971231,20070806,20070102,20080324,20171225,20170120,20091231,20100216,20050110,20080505,20100219,20060202,20050505,20180907,20061226
20070406,20090101,20150628,20050414,20071003,20080321,20021226,20111109,20101207,20070321,20050829,20070517,20051101,20060623,20111121,20040906,20091201,20051226,20100101,20070611,20110422,19980101,20070903,20070122,20080501,20171229,20170227,20100101,20100217,20050223,20080512,20100405,20060411,20050523,20181012,20070101
20070409,20090102,20150703,20050418,20071224,20080324,20030101,20120423,20101224,20070406,20051226,20070528,20051226,20060703,20111212,20041011,20091202,20060102,20100125,20070806,20110425,19980102,20071008,20070206,20080512,20180101,20170228,20100125,20100218,20050307,20080606,20100616,20060501,20050701,20181102,20070409
20070430,20090126,20150704,20050422,20071225,20080501,20030131,20120501,20110203,20070409,20051227,20070815,20051227,20060904,20120206,20041111,20091203,20060110,20100215,20070907,20111226,19980115,20071112,20070406,20080801,20180212,20170414,20100215,20100219,20050308,20080815,20100922,20060512,20050722,20181115,20070501
20070517,20090206,20150705,20050523,20071226,20080620,20030203,20120820,20110215,20070427,20060102,20071101,20060102,20061009,20120319,20041125,20091204,20060130,20100216,20071001,20120406,19980211,20071225,20070409,20081225,20180213,20170421,20100216,20100405,20050502,20080915,20110202,20060831,20050812,20181225,20070517
20070528,20090410,20150711,20050701,20071231,20081224,20030418,20120821,20110422,20070501,20060414,20071225,20060126,20061113,20120405,20050117,20091211,20060131,20100402,20071225,20120409,19980429,20071226,20070425,20081226,20180330,20170501,20100402,20100503,20050509,20081003,20110203,20061023,20051024,20190101,20070528
20071225,20090413,20150712,20050727,20080101,20081225,20030421,20120830,20110517,20070809,20060417,20071226,20060313,20061225,20120406,20050221,20091218,20060414,20100421,20071226,20120501,19980504,20080101,20070604,20090101,20180501,20170615,20100421,20100614,20050510,20081225,20110204,20061024,20051205,20190304,20070607
20071226,20090601,20150718,20050728,20080321,20081226,20030501,20121025,20110602,20070924,20060501,20080101,20060414,20061226,20120501,20050530,20091225,20060501,20100603,20080101,20121225,19980505,20080218,20071022,20090102,20180531,20170907,20100603,20100615,20050613,20090101,20110207,20061025,20051212,20190305,20070815
