old_name,old_file,name_stub,validation_wrapper_called,proposed_new_category,keep_drop_merge,notes
meDateIMMCurrent,meDates.cpp,DateIMM,tryMeDateIMMCurrent,,,
meDateIMMNth,meDates.cpp,DateIMM,tryMeDateIMMNth,,,
meDateIMMNext,meDates.cpp,DateIMM,tryMeDateIMMNext,,,
meDateIMMPrevious,meDates.cpp,DateIMM,tryMeDateIMMPrevious,,,
meFuturesTickerIMMCurrent,meDates.cpp,Futures,tryMeFuturesTickerCurrent,,,
meFuturesTickerIMMNth,meDates.cpp,Futures,tryMeFuturesTickerNth,,,
meFuturesTickerIMMNext,meDates.cpp,Futures,tryMeFuturesTickerNext,,,
meFuturesTickerIMMPrevious,meDates.cpp,Futures,tryMeFuturesTickerPrevious,,,
meDateNthECBMeetingDate,meDates.cpp,Date,tryMeDateNthECBMeetingDate,,,
meDateNthECBSwapStartDate,meDates.cpp,Date,tryMeDateNthECBSwapStartDate,,,
meDateNthECBSwapEndDate,meDates.cpp,Date,tryMeDateNthECBSwapEndDate,,,
meDateNextECBMeetingDate,meDates.cpp,Date,tryMeDateNextECBMeetingDate,,,
meDateNextECBSwapStartDate,meDates.cpp,Date,tryMeDateNextECBSwapStartDate,,,
meDateNextECBSwapEndDate,meDates.cpp,Date,tryMeDateNextECBSwapEndDate,,,
meDateToday,meDates.cpp,Date,tryMeDateToday,,,
meCurveUSDSpotDate,meDates.cpp,CurveUSD,tryMeCurveUSDSpotDate,,,
mirGetDate,meDates.cpp,,tryMeDateFromTenor,,,
meLWOSwapUSDSpotDate,meDates.cpp,LWO,tryMeCurveUSDSpotDate,,,
meDateShiftedSpotDate,meDates.cpp,Date,tryMeDateShiftedSpotDate,,,
meLWOFixingTableCreate,meLWO.cpp,LWO,,,,
meLWOFixingTableDisplay,meLWO.cpp,LWO,tryMeLWOFixingTableDisplay,,,
meLWOFixingTableValues,meLWO.cpp,LWO,tryMeLWOFixingTableValues,,,
meLWOBondCreate,meLWO.cpp,LWO,,,,
meLWOBondDisplay,meLWO.cpp,LWO,tryMeLWOBondDisplay,,,
meLWOBondDisplaySchedule,meLWO.cpp,LWO,tryMeLWOBondDisplaySchedule,,,
meLWOBondDisplayCashflows,meLWO.cpp,LWO,tryMeLWOBondDisplayCashflows,,,
meLWOBondDirtyPrice,meLWO.cpp,LWO,tryMeLWOBondDirtyPrice,,,
meLWOBondAccruedInterestDays,meLWO.cpp,LWO,tryMeLWOBondAccruedInterestDays,,,
meLWOBondCleanPrice,meLWO.cpp,LWO,tryMeLWOBondCleanPrice,,,
meLWOBondAccruedInterest,meLWO.cpp,LWO,tryMeLWOBondAccruedInterest,,,
meLWOBondYield,meLWO.cpp,LWO,tryMeLWOBondYield,,,
meLWOBondCompoundYield,meLWO.cpp,LWO,tryMeLWOBondCompoundYields,,,
meLWOBondPrice,meLWO.cpp,LWO,tryMeLWOBondPrice,,,
meLWOBondDV01Numerical,meLWO.cpp,LWO,tryMeLWOBondDV01Numerical,,,
meLWOBondDV01,meLWO.cpp,LWO,tryMeLWOBondDV01,,,
meLWOBondModifiedDuration,meLWO.cpp,LWO,tryMeLWOBondModifiedDuration,,,
meLWOBondOisSpread,meLWO.cpp,LWO,tryMeLWOBondOisSpread,,,
meLWOBondLastCouponDate,meLWO.cpp,LWO,tryMeLWOBondLastCouponDate,,,
meLWOBondPriceFromDirtyToClean,meLWO.cpp,LWO,tryMeLWOBondPriceFromDirtyToClean,,,
meLWOBondPriceFromCleanToDirty,meLWO.cpp,LWO,tryMeLWOBondPriceFromCleanToDirty,,,
meLWOBondGeneratorCreate,meLWO.cpp,LWO,tryMeLWOBondGeneratorCreate,,,
meLWOBondGeneratorDisplay,meLWO.cpp,LWO,tryMeLWOBondGeneratorDisplay,,,
meLWOBondCreateFromGeneratorLVB,meLWO.cpp,LWO,,,,
meLWOBondCreateFromLVB,meLWO.cpp,LWO,,,,
meLWOBondZSpreadFromRates,meLWO.cpp,LWO,tryMeLWOBondZSpreadFromRates,,,
meLWOBondZSpread,meLWO.cpp,LWO,,,,
meLWOBondForwardPrice,meLWO.cpp,LWO,tryMeLWOBondForwardPrice,,,
meLWOBondRepoRate,meLWO.cpp,LWO,tryMeLWOBondRepoRate,,,
meLWOBondRepoRateFromFuture,meLWO.cpp,LWO,tryMeLWOBondRepoRateFromFuture,,,
meLWOBondFuturePrice,meLWO.cpp,LWO,tryMeLWOBondFuturePrice,,,
meLWOBondConversionFactor,meLWO.cpp,LWO,tryMeLWOBondConversionFactor,,,
meLWOBondGrossBasis,meLWO.cpp,LWO,tryMeLWOBondGrossBasis,,,
meLWOBondNetBasis,meLWO.cpp,LWO,tryMeLWOBondNetBasis,,,
meLWOBondCheapestToDeliver,meLWO.cpp,LWO,,,,
meLWOBondCheapestToDeliverByNetBasis,meLWO.cpp,LWO,,,,
meLWOBondCreateAUDNotionalBond,meLWO.cpp,LWO,,,,
meUtilityBondAverageYield,meLWO.cpp,Utility,tryMeUtilityBondAverageYield,,,
meUtilityBondYieldFromFuturePrice,meLWO.cpp,Utility,tryMeUtilityBondYieldFromFuturePrice,,,
meLWOBondFRNPriceFromDiscountMargin,meLWO.cpp,LWO,tryMeLWOBondFRNPriceFromDiscountMargin,,,
meLWOBondFRNPriceFromYield,meLWO.cpp,LWO,tryMeLWOBondFRNPriceFromYield,,,
meLWOBondFRNYieldFromPrice,meLWO.cpp,LWO,tryMeLWOBondFRNYieldFromPrice,,,
meLWOBondFRNDiscountMarginFromPrice,meLWO.cpp,LWO,tryMeLWOBondFRNDiscountMarginFromPrice,,,
meLWOBondPriceFromCreditModel,meLWO.cpp,LWO,tryMeLWOBondPriceFromCreditModel,,,
meLWOBondBPVPerTick,meLWO.cpp,LWO,tryMeLWOBondBPVPerTick,,,
meLWOFixingTableCreateFromLVB,meLWO.cpp,LWO,tryMeLWOFixingTableCreate,,,
meLWOFixingTableValuesLVB,meLWO.cpp,LWO,tryMeLWOFixingTableValues,,,
meLWOAssetSwapSpreadFromPrice,meLWOAssetSwap.cpp,LWO,tryMeLWOAssetSwapSpreadFromPrice,,,
meLWOAssetSwapSpread,meLWOAssetSwap.cpp,LWO,tryMeLWOAssetSwapSpread,,,
meLWOAssetSwapSpreadToCleanPrice,meLWOAssetSwap.cpp,LWO,tryMeLWOAssetSwapSpreadToCleanPrice,,,
meLWOAssetSwapFixedEqvCoupon,meLWOAssetSwap.cpp,LWO,tryMeLWOAssetSwapFixedEqvCoupon,,,
meLWOAssetSwapSpreadFromFixedEqvCoupon,meLWOAssetSwap.cpp,LWO,tryMeLWOAssetSwapSpreadFromFixedEqvCoupon,,,
meLWOBondQuote,meLWOBonds.cpp,LWO,tryMeLWOBondQuote,,,
meLWOBondForwardReinvestedCoupon,meLWOBonds.cpp,LWO,tryMeLWOBondForwardReinvestedCoupon,,,
meLWOCurveDataCreate,meLWOCurveData.cpp,LWO,,,,
meLWOCurveDataDisplay,meLWOCurveData.cpp,LWO,tryMeLWOCurveDataDisplay,,,
meLWOCurveGeneratorCreate,meLWOCurves.cpp,LWO,,,,
meLWOCurveGeneratorDisplay,meLWOCurves.cpp,LWO,tryMeLWOCurveGeneratorDisplay,,,
meLWOCurveMarketDataCreate,meLWOCurves.cpp,LWO,,,,
meLWOCurveMarketDataDisplay,meLWOCurves.cpp,LWO,tryMeLWOCurveMarketDataDisplay,,,
meLWOCurveCalibrate,meLWOCurves.cpp,LWO,,,,
meLWOCurveForwardRatesTable,meLWOCurves.cpp,LWO,,,,
meLWOCurveDiscountFactorsTable,meLWOCurves.cpp,LWO,,,,
meLWOCurveGeneratorModify,meLWOCurves.cpp,LWO,tryMeLWOCurveGeneratorModify,,,
meLWOCurveDualBootstrap,meLWOCurves.cpp,LWO,,,,
meLWOCurveCalibrateHedge,meLWOCurves.cpp,LWO,,,,
meLWOCurveEngineJacobianDisplay,meLWOCurves.cpp,LWO,tryMeLWOCurveEngineJacobianDisplay,,,
meLWOCurveJacobianDisplay,meLWOCurves.cpp,LWO,tryMeLWOCurveJacobianDisplay,,,
meLWOCurveEngineCalibrate,meLWOCurves.cpp,LWO,,,,
meLWOCurveMarketDataPulse,meLWOCurves.cpp,LWO,,,,
meLWOCurvePulse,meLWOCurves.cpp,LWO,,,,
meLWOCurveMarketDataDisplayFromCurve,meLWOCurves.cpp,LWO,tryMeLWOCurveMarketDataDisplayFromCurve,,,
meLWOCurveDisplayConventions,meLWOCurves.cpp,LWO,tryMeLWOCurveDisplayConventions,,,
meLWOCurveDisplay,meLWOCurves.cpp,LWO,tryMeLWOCurveDisplay,,,
